DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_CE,28/10/2009,3,0.55,13
DATASET_01_2009_2017_CE,28/10/2009,4,0.45,17
DATASET_01_2009_2017_CE,28/10/2009,5,0.35,15
DATASET_01_2009_2017_CE,28/10/2009,6,0.29,21
DATASET_01_2009_2017_CE,28/10/2009,7,0.26,22
DATASET_01_2009_2017_CE,28/10/2009,8,0.24,25
DATASET_01_2009_2017_CE,28/10/2009,9,0.23, 
DATASET_01_2009_2017_CE,28/10/2009,10,0.28, 
DATASET_01_2009_2017_CE,28/10/2009,11,0.33, 
DATASET_01_2009_2017_CE,28/10/2009,12,0.43, 
DATASET_01_2009_2017_CE,28/10/2009,13,0.52, 
DATASET_01_2009_2017_CE,28/10/2009,14,0.6,37
DATASET_01_2009_2017_CE,28/10/2009,15,0.65,31
DATASET_01_2009_2017_CE,28/10/2009,16,0.63,26
DATASET_01_2009_2017_CE,28/10/2009,17,0.61,29
DATASET_01_2009_2017_CE,28/10/2009,18,0.61,34
DATASET_01_2009_2017_CE,28/10/2009,19,0.65,39
DATASET_01_2009_2017_CE,28/10/2009,20,0.71,53
DATASET_01_2009_2017_CE,28/10/2009,21,0.81,54
DATASET_01_2009_2017_CE,28/10/2009,22,0.9,47
DATASET_01_2009_2017_CE,28/10/2009,23,0.95,44
DATASET_01_2009_2017_CE,28/10/2009,24,1.01,41
DATASET_01_2009_2017_CE,01/11/2009,13,0.55,15
DATASET_01_2009_2017_CE,01/11/2009,14,0.59,14
DATASET_01_2009_2017_CE,01/11/2009,15,0.6,16
DATASET_01_2009_2017_CE,01/11/2009,16,0.61,14
DATASET_01_2009_2017_CE,01/11/2009,17,0.6,14
DATASET_01_2009_2017_CE,01/11/2009,18,0.56,14
DATASET_01_2009_2017_CE,01/11/2009,19,0.54,16
DATASET_01_2009_2017_CE,01/11/2009,20,0.51,17
DATASET_01_2009_2017_CE,01/11/2009,21,0.49,17
DATASET_01_2009_2017_CE,01/11/2009,22,0.48,20
DATASET_01_2009_2017_CE,01/11/2009,23,0.46,20
DATASET_01_2009_2017_CE,01/11/2009,24,0.45,20
DATASET_01_2009_2017_CE,02/11/2009,1,0.44,21
DATASET_01_2009_2017_CE,02/11/2009,2,0.43,21
DATASET_01_2009_2017_CE,02/11/2009,3,0.4,16
