DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_PA,16/10/2009,9,0.43, 
DATASET_01_2009_2017_PA,16/10/2009,10,0.35, 
DATASET_01_2009_2017_PA,16/10/2009,11,0.31, 
DATASET_01_2009_2017_PA,16/10/2009,12,0.29, 
DATASET_01_2009_2017_PA,18/10/2009,13,0.35, 
DATASET_01_2009_2017_PA,18/10/2009,14,0.39, 
DATASET_01_2009_2017_PA,18/10/2009,15,0.44, 
DATASET_01_2009_2017_PA,18/10/2009,16,0.48, 
DATASET_01_2009_2017_PA,18/10/2009,17,0.49, 
DATASET_01_2009_2017_PA,18/10/2009,18,0.5, 
DATASET_01_2009_2017_PA,18/10/2009,19,0.53, 
DATASET_01_2009_2017_PA,18/10/2009,20,0.56, 
DATASET_01_2009_2017_PA,18/10/2009,21,0.58, 
DATASET_01_2009_2017_PA,18/10/2009,22,0.55, 
DATASET_01_2009_2017_PA,18/10/2009,23,0.53, 
DATASET_01_2009_2017_PA,18/10/2009,24,0.5, 
DATASET_01_2009_2017_PA,19/10/2009,1,0.51, 
DATASET_01_2009_2017_PA,19/10/2009,2,0.55, 
DATASET_01_2009_2017_PA,19/10/2009,3,0.55, 
DATASET_01_2009_2017_PA,19/10/2009,4,0.51, 
DATASET_01_2009_2017_PA,19/10/2009,5,0.48, 
DATASET_01_2009_2017_PA,19/10/2009,6,0.44, 
DATASET_01_2009_2017_PA,19/10/2009,7,0.4, 
DATASET_01_2009_2017_PA,19/10/2009,8,0.36, 
DATASET_01_2009_2017_PA,19/10/2009,9,0.33, 
DATASET_01_2009_2017_PA,19/10/2009,10,0.29, 
DATASET_01_2009_2017_PA,19/10/2009,11,0.29, 
DATASET_01_2009_2017_PA,19/10/2009,12,0.3, 
DATASET_01_2009_2017_PA,19/10/2009,13,0.34, 
DATASET_01_2009_2017_PA,19/10/2009,14,0.38, 
DATASET_01_2009_2017_PA,19/10/2009,15,0.41, 
DATASET_01_2009_2017_PA,19/10/2009,16,0.49, 
DATASET_01_2009_2017_PA,19/10/2009,17,0.58, 
DATASET_01_2009_2017_PA,19/10/2009,18,0.66, 
DATASET_01_2009_2017_PA,19/10/2009,19,0.74, 
DATASET_01_2009_2017_PA,19/10/2009,20,0.86, 
DATASET_01_2009_2017_PA,19/10/2009,21,1, 
DATASET_01_2009_2017_PA,19/10/2009,22,1.13, 
DATASET_01_2009_2017_PA,19/10/2009,23,1.2, 
DATASET_01_2009_2017_PA,19/10/2009,24,1.21, 
DATASET_01_2009_2017_PA,20/10/2009,1,1.21, 
DATASET_01_2009_2017_PA,20/10/2009,2,1.2, 
DATASET_01_2009_2017_PA,20/10/2009,3,1.2, 
DATASET_01_2009_2017_PA,20/10/2009,4,1.11, 
DATASET_01_2009_2017_PA,20/10/2009,5,1.01, 
DATASET_01_2009_2017_PA,20/10/2009,6,0.91, 
DATASET_01_2009_2017_PA,20/10/2009,7,0.89, 
DATASET_01_2009_2017_PA,20/10/2009,8,0.98, 
DATASET_01_2009_2017_PA,20/10/2009,9,1.04, 
DATASET_01_2009_2017_PA,20/10/2009,10,1.04, 
DATASET_01_2009_2017_PA,20/10/2009,11,1.01, 
DATASET_01_2009_2017_PA,20/10/2009,12,1.04, 
DATASET_01_2009_2017_PA,20/10/2009,13,1.1, 
DATASET_01_2009_2017_PA,20/10/2009,14,1.14, 
DATASET_01_2009_2017_PA,20/10/2009,15,1.11, 
DATASET_01_2009_2017_PA,20/10/2009,16,0.99, 
DATASET_01_2009_2017_PA,20/10/2009,17,0.93, 
DATASET_01_2009_2017_PA,20/10/2009,18,0.94, 
DATASET_01_2009_2017_PA,20/10/2009,19,0.99, 
DATASET_01_2009_2017_PA,20/10/2009,20,0.99, 
DATASET_01_2009_2017_PA,20/10/2009,21,0.91, 
DATASET_01_2009_2017_PA,20/10/2009,22,0.85, 
DATASET_01_2009_2017_PA,20/10/2009,23,0.83, 
DATASET_01_2009_2017_PA,20/10/2009,24,0.81, 
DATASET_01_2009_2017_PA,21/10/2009,1,0.74, 
DATASET_01_2009_2017_PA,21/10/2009,2,0.65, 
DATASET_01_2009_2017_PA,21/10/2009,3,0.53, 
DATASET_01_2009_2017_PA,21/10/2009,4,0.44, 
DATASET_01_2009_2017_PA,21/10/2009,5,0.39, 
DATASET_01_2009_2017_PA,21/10/2009,6,0.35, 
DATASET_01_2009_2017_PA,21/10/2009,7,0.31, 
DATASET_01_2009_2017_PA,21/10/2009,8,0.29, 
DATASET_01_2009_2017_PA,21/10/2009,9,0.3, 
DATASET_01_2009_2017_PA,21/10/2009,10,0.35, 
DATASET_01_2009_2017_PA,21/10/2009,11,0.4, 
DATASET_01_2009_2017_PA,21/10/2009,12,0.46, 
DATASET_01_2009_2017_PA,21/10/2009,13,0.55, 
DATASET_01_2009_2017_PA,21/10/2009,14,0.63, 
DATASET_01_2009_2017_PA,21/10/2009,15,0.69, 
DATASET_01_2009_2017_PA,21/10/2009,16,0.78, 
DATASET_01_2009_2017_PA,21/10/2009,17,0.85, 
DATASET_01_2009_2017_PA,21/10/2009,18,0.86, 
DATASET_01_2009_2017_PA,21/10/2009,19,0.89, 
DATASET_01_2009_2017_PA,21/10/2009,20,0.94, 
DATASET_01_2009_2017_PA,21/10/2009,21,0.96, 
DATASET_01_2009_2017_PA,21/10/2009,22,0.99, 
DATASET_01_2009_2017_PA,21/10/2009,23,1, 
DATASET_01_2009_2017_PA,21/10/2009,24,0.95, 
