DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_CO,01/11/2009,14, ,21
DATASET_01_2009_2017_CO,01/11/2009,15, ,16
DATASET_01_2009_2017_CO,01/11/2009,16, ,16
DATASET_01_2009_2017_CO,01/11/2009,17, ,18
DATASET_01_2009_2017_CO,01/11/2009,18, ,21
DATASET_01_2009_2017_CO,01/11/2009,19, ,21
DATASET_01_2009_2017_CO,01/11/2009,20, ,21
DATASET_01_2009_2017_CO,01/11/2009,21, ,23
DATASET_01_2009_2017_CO,01/11/2009,22, ,19
DATASET_01_2009_2017_CO,01/11/2009,23, ,19
DATASET_01_2009_2017_CO,01/11/2009,24, ,19
DATASET_01_2009_2017_CO,02/11/2009,1, ,15
DATASET_01_2009_2017_CO,02/11/2009,2, ,11
DATASET_01_2009_2017_CO,02/11/2009,3, ,9
DATASET_01_2009_2017_CO,02/11/2009,4, ,7
DATASET_01_2009_2017_CO,02/11/2009,5, ,9
DATASET_01_2009_2017_CO,02/11/2009,6, ,11
DATASET_01_2009_2017_CO,02/11/2009,7, ,13
DATASET_01_2009_2017_CO,02/11/2009,8, ,21
DATASET_01_2009_2017_CO,02/11/2009,9, ,23
DATASET_01_2009_2017_CO,02/11/2009,10, ,23
DATASET_01_2009_2017_CO,02/11/2009,11, ,24
DATASET_01_2009_2017_CO,02/11/2009,12, ,24
DATASET_01_2009_2017_CO,04/11/2009,1, ,17
DATASET_01_2009_2017_CO,04/11/2009,2, ,16
DATASET_01_2009_2017_CO,04/11/2009,3, ,13
DATASET_01_2009_2017_CO,04/11/2009,4, ,11
DATASET_01_2009_2017_CO,04/11/2009,5, ,11
DATASET_01_2009_2017_CO,04/11/2009,6, ,9
DATASET_01_2009_2017_CO,04/11/2009,7, ,11
DATASET_01_2009_2017_CO,04/11/2009,8, ,15
DATASET_01_2009_2017_CO,04/11/2009,9, ,18
DATASET_01_2009_2017_CO,04/11/2009,10, ,19
DATASET_01_2009_2017_CO,04/11/2009,11, ,20
DATASET_01_2009_2017_CO,04/11/2009,12, ,22
DATASET_01_2009_2017_CO,04/11/2009,13, ,25
DATASET_01_2009_2017_CO,04/11/2009,14, ,25
DATASET_01_2009_2017_CO,04/11/2009,15, ,27
DATASET_01_2009_2017_CO,04/11/2009,16, ,26
DATASET_01_2009_2017_CO,04/11/2009,17, ,30
DATASET_01_2009_2017_CO,04/11/2009,18, ,33
DATASET_01_2009_2017_CO,04/11/2009,19, ,30
DATASET_01_2009_2017_CO,04/11/2009,20, ,30
DATASET_01_2009_2017_CO,04/11/2009,21, ,28
DATASET_01_2009_2017_CO,04/11/2009,22, ,26
